model,model_label,tool,demonstrates,transport,schema_role,strict,trials,accepted,honored,dropped,invalid,rejected,error,honored_rate,honored_ci_lo,honored_ci_hi,served_n,accepted_pct,honored_given_accepted,honored_of_served,hos_ci_lo,hos_ci_hi,underpowered
gemini-3.5-flash,gemini-3.5-flash,lookup-record,top-level oneOf,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,lookup-record,top-level oneOf,huggingface,input,,20,20,13,0,7,0,0,0.65,0.4329,0.8188,20,1.0,0.65,0.65,0.4329,0.8188,False
zai-org/GLM-5.2,glm-5.2,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,lookup-record,top-level oneOf,direct,input,False,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,lookup-record,top-level oneOf,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,lookup-record,top-level oneOf,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,lookup-record,top-level oneOf,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
thinkingmachines/Inkling,inkling,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
kimi-k3,kimi-k3,lookup-record,top-level oneOf,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K3,kimi-k3-hf,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
MiniMaxAI/MiniMax-M3,minimax-m3,lookup-record,top-level oneOf,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,lookup-record,top-level oneOf,huggingface,input,,20,16,0,0,16,0,4,0.0,0.0,0.1611,16,1.0,0.0,0.0,0.0,0.1936,True
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,lookup-record,top-level oneOf,huggingface,input,,20,20,0,0,20,0,0,0.0,0.0,0.1611,20,1.0,0.0,0.0,0.0,0.1611,False
claude-fable-5,claude-fable-5,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-haiku-4-5,claude-haiku-4.5,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-opus-4-8,claude-opus-4.8,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-sonnet-5,claude-sonnet-5,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-pro-preview,gemini-3.1-pro,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.5-flash,gemini-3.5-flash,plot-point,prefixItems,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
zai-org/GLM-5.2,glm-5.2,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,plot-point,prefixItems,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,plot-point,prefixItems,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,plot-point,prefixItems,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,plot-point,prefixItems,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
thinkingmachines/Inkling,inkling,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,plot-point,prefixItems,huggingface,input,,20,20,16,0,4,0,0,0.8,0.584,0.9193,20,1.0,0.8,0.8,0.584,0.9193,False
kimi-k3,kimi-k3,plot-point,prefixItems,direct,input,,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
moonshotai/Kimi-K3,kimi-k3-hf,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
MiniMaxAI/MiniMax-M3,minimax-m3,plot-point,prefixItems,huggingface,input,,20,20,0,0,20,0,0,0.0,0.0,0.1611,20,1.0,0.0,0.0,0.0,0.1611,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,plot-point,prefixItems,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-fable-5,claude-fable-5,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-haiku-4-5,claude-haiku-4.5,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-opus-4-8,claude-opus-4.8,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
claude-sonnet-5,claude-sonnet-5,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
deepseek-ai/DeepSeek-V4-Flash,deepseek-v4-flash,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-flash-lite,gemini-3.1-flash-lite,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.1-pro-preview,gemini-3.1-pro,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gemini-3.5-flash,gemini-3.5-flash,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
google/gemma-4-31B-it,gemma-4-31b,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
zai-org/GLM-5.2,glm-5.2,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4,gpt-5.4,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4,gpt-5.4,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.4-mini,gpt-5.4-mini,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.4-mini,gpt-5.4-mini,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.5,gpt-5.5,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.5,gpt-5.5,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-luna,gpt-5.6-luna,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-luna,gpt-5.6-luna,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-sol,gpt-5.6-sol,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-sol,gpt-5.6-sol,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,register-address,if / then,direct,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,register-address,if / then,direct,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
gpt-5.6-terra,gpt-5.6-terra,register-address,if / then,direct-responses,input,False,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
gpt-5.6-terra,gpt-5.6-terra,register-address,if / then,direct-responses,input,True,20,0,0,0,0,20,0,0.0,0.0,0.1611,20,0.0,,0.0,0.0,0.1611,False
openai/gpt-oss-120b,gpt-oss-120b,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
thinkingmachines/Inkling,inkling,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.6,kimi-k2.6,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K2.7-Code,kimi-k2.7-code,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
kimi-k3,kimi-k3,register-address,if / then,direct,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
moonshotai/Kimi-K3,kimi-k3-hf,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
MiniMaxAI/MiniMax-M3,minimax-m3,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
Qwen/Qwen3.6-35B-A3B,qwen3.6-35b,register-address,if / then,huggingface,input,,20,20,20,0,0,0,0,1.0,0.8389,1.0,20,1.0,1.0,1.0,0.8389,1.0,False
