model_label,tool,demonstrates,variant,phrasing,arm,served_n,honored,dropped,invalid,rejected,error,copied_n,v2_hos,coached_hos,delta
kimi-k2.6,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,14,0,6,0,0,3,0.7,1.0,-0.3
kimi-k2.7-code,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,17,0,3,0,0,2,0.85,1.0,-0.15
kimi-k2.7-code,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,1.0,0.0
minimax-m3,register-address,if / then,us-zip5,0,huggingface (deepinfra),4,4,0,0,0,16,0,1.0,1.0,0.0
minimax-m3,register-address,if / then,us-zip5,1,huggingface (deepinfra),9,7,0,2,0,11,2,0.778,1.0,-0.222
qwen3.5-397b,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,13,0,7,0,0,7,0.65,1.0,-0.35
qwen3.5-397b,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,14,0,6,0,0,6,0.7,1.0,-0.3
qwen3.6-35b,register-address,if / then,us-zip5,0,huggingface (deepinfra),20,10,0,10,0,0,9,0.5,1.0,-0.5
qwen3.6-35b,register-address,if / then,us-zip5,1,huggingface (deepinfra),20,11,0,9,0,0,8,0.55,1.0,-0.45
claude-haiku-4.5,set-reference,pattern (formatted code),ref-code,0,direct,20,20,0,0,0,0,0,1.0,,
claude-haiku-4.5,set-reference,pattern (formatted code),ref-code,1,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,set-reference,pattern (formatted code),ref-code,0,direct,20,20,0,0,0,0,0,1.0,,
claude-sonnet-5,set-reference,pattern (formatted code),ref-code,1,direct,20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
deepseek-v4-flash,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,set-reference,pattern (formatted code),ref-code,0,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-flash-lite,set-reference,pattern (formatted code),ref-code,1,direct,20,20,0,0,0,0,0,1.0,,
gemini-3.1-pro,set-reference,pattern (formatted code),ref-code,0,direct,0,0,0,0,0,20,0,,,
gemini-3.1-pro,set-reference,pattern (formatted code),ref-code,1,direct,0,0,0,0,0,20,0,,,
gemma-4-31b,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gemma-4-31b,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
glm-5.2,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
glm-5.2,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
gpt-5.4-mini,set-reference,pattern (formatted code),ref-code,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.4-mini,set-reference,pattern (formatted code),ref-code,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,set-reference,pattern (formatted code),ref-code,0,direct,20,20,0,0,0,0,0,1.0,,
gpt-5.5,set-reference,pattern (formatted code),ref-code,1,direct,20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
gpt-oss-120b,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.6,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
kimi-k2.7-code,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,19,0,1,0,0,0,0.95,,
kimi-k2.7-code,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,16,0,4,0,0,0,0.8,,
minimax-m3,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),18,18,0,0,0,2,0,1.0,,
minimax-m3,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),12,12,0,0,0,8,0,1.0,,
qwen3.5-397b,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.5-397b,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,set-reference,pattern (formatted code),ref-code,0,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
qwen3.6-35b,set-reference,pattern (formatted code),ref-code,1,huggingface (deepinfra),20,20,0,0,0,0,0,1.0,,
